date,station,particle,replicate,file,phase,batch,raman_gt,raman_conf,gt_source,support_level,withheld,tie_break,B_label,B_r,spec_class,omnic_name,hqi,openspecy_name,openspecy_match_val,ml_name,ml_prob,simple_name,simple_score,confidence,carbonyl_index,openspecy_material_class,openspecy_plastic,openspecy_top3,openspecy_status,ml_status
07.12,S1,3,1,0712S1-3.CSV,heldout_july,heldout_1,polyolefin_PP,tentative,rule,C,False,False,polyolefin_PE,0.444,polyolefin_PE,Duct tape (Back side),97.57,pe,0.863157266492376,poly(ethylene),0.873038748564213,polyethylene_high_density,0.942304764032526,tentative,0.0553776984477245,poly(ethylene),plastic,pe (0.86) | pe (0.86) | eps (0.86),hit,hit
07.12,S1,6,1,0712S1-6.CSV,heldout_july,heldout_1,polyolefin_PE,tentative,rule,B,False,False,polyolefin_PE,0.544,polyolefin_unresolved,Duct tape (Back side),97.85,eps,0.871538892909331,poly(ethylene),0.857785482230078,polyethylene_high_density,0.958763778876126,tentative,0.1876021337002222,"polystyrenes (polyphenylethylenes, -methylstyrene)",plastic,eps (0.87) | pe (0.87) | eps (0.87),hit,hit
07.25,S1,10,1,0725S1-10.CSV,heldout_july,heldout_2,polyolefin_PP,tentative,rule,C,False,False,polyolefin_PE,0.874,polyolefin_PE,Duct tape (Back side),93.49,hdpe,0.874806461932365,poly(ethylene),0.960013674560794,polyethylene_high_density,0.946394912374704,tentative,0.1339437262777976,poly(ethylene),plastic,hdpe (0.87) | hdpe (0.87) | ldpe (0.87),hit,hit
07.25,S1,2,1,0725S1-2.CSV,heldout_july,heldout_2,polyolefin_PE,confident,rule,A+,False,False,polyolefin_PE,0.973,polyolefin_unresolved,Duct tape (Back side),94.54,pe,0.869863445898367,poly(ethylene),0.951985472576891,polyethylene_high_density,0.895804118965184,tentative,0.054532209963427,poly(ethylene),plastic,pe (0.87) | pe (0.87) | pe (0.87),hit,hit
07.25,S1,3,1,0725S1-3.CSV,heldout_july,heldout_2,polyolefin_PE,tentative,rule,B,False,False,polyolefin_PE,0.846,polyolefin_PE,Duct tape (Back side),88.05,pe,0.81585143921613,poly(ethylene),0.977296155224324,polyethylene_foamed,0.829102261653442,tentative,0.0848677047621659,poly(ethylene),plastic,pe (0.82) | pe (0.81) | pp (0.81),hit,hit
07.25,S1,4,1,0725S1-4.CSV,heldout_july,heldout_2,polyolefin_PE,tentative,rule,A,False,False,polyolefin_PE,0.984,polyolefin_PE,Duct tape (Back side),97.79,hdpe,0.894554308994311,poly(ethylene),0.926482449805524,polyethylene_high_density,0.988574666105867,tentative,0.2731939763871577,poly(ethylene),plastic,hdpe (0.89) | ldpe (0.89) | ldpe (0.89),hit,hit
07.25,S1,7,1,0725S1-7.CSV,heldout_july,heldout_2,polystyrene,confident,rule,A,False,False,polystyrene,0.732,mineral_or_unresolved,Styrofoam,73.62,ps,0.805749758730076,"polystyrenes (polyphenylethylenes, -methylstyrene)",0.665684721548728,polystyrene,0.859309457539768,unresolved,,"polystyrenes (polyphenylethylenes, -methylstyrene)",plastic,ps (0.81) | pp (0.79) | pp (0.78),hit,hit
07.25,S1,8,1,0725S1-8.CSV,heldout_july,heldout_2,polyolefin_PP,confident,rule,A+,False,False,polyolefin_PP,0.963,polyolefin_PP,"Polypropylene, isotactic",86.86,pp,0.716746680407257,poly(propylene),0.8422076209275,polypropylene,0.864068634838484,confident,0.1617938269634099,poly(propylene),plastic,pp (0.72) | pp (0.72) | pp (0.72),hit,hit
07.25,S1,9,1,0725S1-9.CSV,heldout_july,heldout_2,polyolefin_PE,tentative,rule,C,False,False,natural_organic,0.137,unresolved,Iron pentacarbonyl,39.25,abs,0.522212442489644,poly(acrylamide/amid)s,0.235265587929595,resin_dispersion,0.194098668976152,unresolved,,acrylonitrile butadiene styrene (abs),plastic,abs (0.52) | 1_2_polybutadiene (0.50) | abs (0.50),below_threshold,below_threshold
06.07,S1,6,1,0607S1-6.CSV,phase2,train,unresolved,unresolved,withheld,WH,True,True,polyolefin_PE,0.389,silicate,Deep Rose blush,83.61,allanitece__r050043-1__infrared__infrared_data_processed__1233,0.748400985548427,mineral,0.394418253957657,hydroxypropyl_cellulose,0.685152872478586,tentative,,mineral,not plastic,allanitece__r050043-1__infrared__infrared_data_processed__1233 (0.75) | allanite-(ce) (0.75) | fluorophlogopite (0.74),hit,hit
